adj,noun,adj_article,article,mass
saw,blade,a,a,FALSE
metal,edge,a,an,FALSE
bull,clip,a,a,FALSE
people,group,a,a,FALSE
record,player,a,a,FALSE
dancing,troop,a,a,FALSE
band,man,a,a,FALSE
page,boy,a,a,FALSE
music,room,a,a,FALSE
weight,bag,a,a,FALSE
football,match,a,a,FALSE
mountain,bike,a,a,FALSE
country,road,a,a,FALSE
cabbage,leaf,a,a,FALSE
light,till,a,a,FALSE
dressing,room,a,a,FALSE
room,clock,a,a,FALSE
box,tape,a,a,FALSE
inch,divide,an,a,FALSE
inch,wall,an,a,FALSE
paper,bag,a,a,FALSE
park,parade,a,a,FALSE
inch,board,an,a,FALSE
floor,board,a,a,FALSE
fish,soup,,,TRUE
head,louse,a,a,FALSE
bed,bed,a,a,FALSE
lace,curtain,a,a,FALSE
back,yard,a,a,FALSE
people,kid,a,a,FALSE
jacket,top,a,a,FALSE
top,potato,a,a,FALSE
press,jacket,a,a,FALSE
grey,shoe,a,a,FALSE
slip,ons,a,an,FALSE
sleeping,bag,a,a,FALSE
baby,cot,a,a,FALSE
eye,witness,an,a,FALSE
steel,worker,a,a,FALSE
pound,rise,a,a,FALSE
cellar,key,a,a,FALSE
office,key,an,a,FALSE
dance,floor,a,a,FALSE
pool,table,a,a,FALSE
man,man,a,a,FALSE
scratching,guy,a,a,FALSE
land,motorway,a,a,FALSE
student,band,a,a,FALSE
soup,kitchen,a,a,FALSE
water,line,a,a,FALSE
mackerel,fishing,,,TRUE
river,fishing,,,TRUE
spa,camera,a,a,FALSE
camera,eye,a,an,FALSE
rock,pool,a,a,FALSE
crab,line,a,a,FALSE
lobster,pot,a,a,FALSE
cocktail,bar,a,a,FALSE
split,cup,a,a,FALSE
darts,secretary,a,a,FALSE
student,television,a,a,FALSE
roof,ventilation,,,TRUE
rock,crowd,a,a,FALSE
bass,one,a,a,FALSE
smoke,machine,a,a,FALSE
bus,driver,a,a,FALSE
dance,room,a,a,FALSE
cum,store,a,a,FALSE
store,room,a,a,FALSE
jazz,band,a,a,FALSE
fire,exit,a,an,FALSE
exit,entrance,an,an,FALSE
shore,island,a,an,FALSE
bin,liner,a,a,FALSE
tent,card,a,a,FALSE
box,cooler,a,a,FALSE
bed,breakfast,a,a,FALSE
door,valve,a,a,FALSE
car,parking,,,TRUE
street,car,a,a,FALSE
twin,room,a,a,FALSE
chef,cooking,,,TRUE
fish,slab,a,a,FALSE
train,fare,a,a,FALSE
nights,bed,a,a,FALSE
breakfast,breakfast,a,a,FALSE
bus,fare,a,a,FALSE
hotel,hotel,a,a,FALSE
star,hotel,a,a,FALSE
town,clerk,a,a,FALSE
rock,music,,,TRUE
bar,bar,a,a,FALSE
carpet,tile,a,a,FALSE
toilet,seat,a,a,FALSE
passenger,car,a,a,FALSE
car,ferry,a,a,FALSE
day,break,a,a,FALSE
star,one,a,a,FALSE
bus,ticket,a,a,FALSE
rail,ticket,a,a,FALSE
hotel,breakfast,a,a,FALSE
carpet,shampoo,,,TRUE
mop,head,a,a,FALSE
heads,head,a,a,FALSE
brush,head,a,a,FALSE
dozen,table,a,a,FALSE
mirror,tile,a,a,FALSE
pillar,box,a,a,FALSE
barbecue,recipe,a,a,FALSE
charcoal,grill,a,a,FALSE
stage,spot,a,a,FALSE
dozen,crate,a,a,FALSE
food,food,,,TRUE
cocktail,side,a,a,FALSE
floor,floor,a,a,FALSE
bar,staff,,,TRUE
cotton,chair,a,a,FALSE
till,receipt,a,a,FALSE
bleeding,chocolate,,,TRUE
cock,eye,a,an,FALSE
blood,test,a,a,FALSE
washing,machine,a,a,FALSE
hand,washing,,,TRUE
bus,park,a,a,FALSE
bleeding,camera,a,a,FALSE
milk,bar,a,a,FALSE
concrete,floor,a,a,FALSE
shop,floor,a,a,FALSE
wrapping,paper,a,a,FALSE
bottom,light,a,a,FALSE
light,bulb,a,a,FALSE
gas,cooking,,,TRUE
bleeding,cooker,a,a,FALSE
gas,cooker,a,a,FALSE
cheese,pie,a,a,FALSE
potato,pie,a,a,FALSE
teapot,water,,,TRUE
fruit,machine,a,a,FALSE
bleeding,pound,a,a,FALSE
note,card,a,a,FALSE
night,day,a,a,FALSE
driving,instructor,a,an,FALSE
bleeding,light,a,a,FALSE
tobacco,tin,a,a,FALSE
kitchen,light,a,a,FALSE
camping,school,a,a,FALSE
tea,coffee,,,TRUE
coffee,cake,a,a,FALSE
fruit,juice,,,TRUE
penny,packet,a,a,FALSE
conveyor,belt,a,a,FALSE
pocket,money,,,TRUE
night,shirt,a,a,FALSE
curling,brush,a,a,FALSE
puzzle,book,a,a,FALSE
washing,line,a,a,FALSE
leg,woman,a,a,FALSE
length,mirror,a,a,FALSE
chap,queen,a,a,FALSE
bleeding,head,a,a,FALSE
gas,man,a,a,FALSE
sandwich,bar,a,a,FALSE
burger,bar,a,a,FALSE
bleeding,phone,a,a,FALSE
broom,sweep,a,a,FALSE
fruit,drop,a,a,FALSE
chocolate,brazil,,,TRUE
quarter,bag,a,a,FALSE
butter,cup,a,a,FALSE
bleeding,shave,a,a,FALSE
shave,rash,a,a,FALSE
lunch,till,a,a,FALSE
washing,powder,,,TRUE
coffee,break,a,a,FALSE
wax,coat,a,a,FALSE
wax,jacket,a,a,FALSE
stereo,computer,a,a,FALSE
seat,belt,a,a,FALSE
door,car,a,a,FALSE
pound,point,a,a,FALSE
alloy,wheel,an,a,FALSE
push,bike,a,a,FALSE
dress,ballet,a,a,FALSE
ballet,ballet,a,a,FALSE
ballroom,dancing,,,TRUE
breakfast,cereal,,,TRUE
chip,shop,a,a,FALSE
vegetable,soup,,,TRUE
bleeding,crumpet,a,a,FALSE
leather,jacket,a,a,FALSE
dress,ring,a,a,FALSE
bleeding,finger,a,a,FALSE
day,person,a,a,FALSE
fruit,cake,a,a,FALSE
silver,packet,a,a,FALSE
pub,window,a,a,FALSE
bleeding,pocket,a,a,FALSE
pocket,chap,a,a,FALSE
bacon,casserole,a,a,FALSE
money,card,a,a,FALSE
telephone,call,a,a,FALSE
night,cream,,,TRUE
husband,neck,a,a,FALSE
money,swine,a,a,FALSE
curling,tong,a,a,FALSE
marmalade,fish,a,a,FALSE
toe,rag,a,a,FALSE
bike,back,a,a,FALSE
tea,towel,a,a,FALSE
vinegar,bottle,a,a,FALSE
picture,hook,a,a,FALSE
brass,wire,a,a,FALSE
picture,wire,a,a,FALSE
phone,card,a,a,FALSE
tube,line,a,a,FALSE
pound,note,a,a,FALSE
model,girl,a,a,FALSE
velvet,slipper,a,a,FALSE
letter,home,a,a,FALSE
football,teacher,a,a,FALSE
back,alley,a,an,FALSE
cooking,cooking,,,TRUE
leather,coat,a,a,FALSE
foot,bed,a,a,FALSE
ham,salad,a,a,FALSE
woman,drop,a,a,FALSE
person,man,a,a,FALSE
property,page,a,a,FALSE
radio,repair,a,a,FALSE
bank,note,a,a,FALSE
bedroom,bungalow,a,a,FALSE
sauce,potato,a,a,FALSE
tin,tray,a,a,FALSE
text,book,a,a,FALSE
water,hammer,a,a,FALSE
ladies,toilet,a,a,FALSE
chamber,pot,a,a,FALSE
bedside,table,a,a,FALSE
taxi,driver,a,a,FALSE
holly,leaf,a,a,FALSE
clothes,furnishing,,,TRUE
furnishings,gift,a,a,FALSE
rum,pineapple,a,a,FALSE
suite,shower,a,a,FALSE
cooking,meal,a,a,FALSE
bath,tile,a,a,FALSE
suite,tile,a,a,FALSE
suite,room,a,a,FALSE
kitchen,water,,,TRUE
pound,wallpaper,,,TRUE
town,dump,a,a,FALSE
fridge,freezer,a,a,FALSE
cooker,gas,,,TRUE
car,boot,a,a,FALSE
shower,tray,a,a,FALSE
cotton,shirt,a,a,FALSE
ground,floor,a,a,FALSE
machine,chap,a,a,FALSE
knife,edge,a,an,FALSE
piece,suite,a,a,FALSE
corner,house,a,a,FALSE
bedroom,flat,a,a,FALSE
bedroom,house,a,a,FALSE
body,clock,a,a,FALSE
airline,pilot,an,a,FALSE
school,school,a,a,FALSE
house,person,a,a,FALSE
floor,house,a,a,FALSE
mince,pie,a,a,FALSE
book,paperback,a,a,FALSE
wood,sculpture,a,a,FALSE
hair,fall,a,a,FALSE
goods,person,a,a,FALSE
pencil,sharpener,a,a,FALSE
shop,envelope,a,an,FALSE
lock,stock,,,TRUE
fur,coat,a,a,FALSE
lace,cover,a,a,FALSE
car,stair,a,a,FALSE
door,reef,a,a,FALSE
school,day,a,a,FALSE
rot,car,a,a,FALSE
block,blockage,a,a,FALSE
navy,coat,a,a,FALSE
night,sign,a,a,FALSE
head,office,a,an,FALSE
market,day,a,a,FALSE
cooking,breakfast,a,a,FALSE
day,water,,,TRUE
track,suit,a,a,FALSE
pound,lunch,a,a,FALSE
television,actress,a,an,FALSE
arm,pit,an,a,FALSE
smoke,salmon,,,TRUE
family,feast,a,a,FALSE
pottery,room,a,a,FALSE
chocolate,cake,a,a,FALSE
loo,loop,a,a,FALSE
money,side,a,a,FALSE
thyroid,infection,a,an,FALSE
infection,infection,an,an,FALSE
cotton,lining,a,a,FALSE
dozen,egg,a,an,FALSE
birth,date,a,a,FALSE
hand,dress,a,a,FALSE
telephone,ringing,,,TRUE
electronics,firm,an,a,FALSE
microscope,spotlight,a,a,FALSE
terrace,house,a,a,FALSE
station,sign,a,a,FALSE
bank,card,a,a,FALSE
crease,mark,a,a,FALSE
grease,mark,a,a,FALSE
skirt,stain,a,a,FALSE
plant,root,a,a,FALSE
test,barometer,a,a,FALSE
air,sea,an,a,FALSE
sea,food,,,TRUE
food,restaurant,a,a,FALSE
boy,fuel,,,TRUE
fuel,fuel,,,TRUE
coke,cast,a,a,FALSE
stove,cast,a,a,FALSE
cast,iron,a,an,FALSE
iron,coke,an,a,FALSE
coke,stove,a,a,FALSE
water,pipe,a,a,FALSE
file,drawer,a,a,FALSE
college,lecturer,a,a,FALSE
baby,girl,a,a,FALSE
gravel,border,a,a,FALSE
foot,length,a,a,FALSE
inch,wood,,,TRUE
fence,door,a,a,FALSE
welding,rod,a,a,FALSE
bottom,item,a,an,FALSE
fax,phone,a,a,FALSE
aluminum,rod,an,a,FALSE
piece,point,a,a,FALSE
plastics,company,a,a,FALSE
hedge,shears,,,TRUE
kitchen,sink,a,a,FALSE
car,door,a,a,FALSE
nylon,bag,a,a,FALSE
curb,stone,a,a,FALSE
chain,walk,a,a,FALSE
sleeping,policeman,a,a,FALSE
fruit,sherry,,,TRUE
wine,sherry,,,TRUE
maypole,daner,a,a,FALSE
food,board,a,a,FALSE
water,board,a,a,FALSE
water,bridge,a,a,FALSE
cream,tub,a,a,FALSE
bar,meal,a,a,FALSE
student,bar,a,a,FALSE
guy,beard,a,a,FALSE
head,boy,a,a,FALSE
carnation,pink,,,TRUE
hairdresser,quarter,a,a,FALSE
cigarette,carton,a,a,FALSE
water,water,,,TRUE
root,bedding,,,TRUE
bedding,plant,a,a,FALSE
brake,light,a,a,FALSE
car,transporter,a,a,FALSE
brake,dust,,,TRUE
rail,railway,a,a,FALSE
transporter,company,a,a,FALSE
motor,bridge,a,a,FALSE
petrol,tank,a,a,FALSE
child,person,a,a,FALSE
flip,top,a,a,FALSE
carat,ring,a,a,FALSE
poker,game,a,a,FALSE
roll,shot,a,a,FALSE
corner,ball,a,a,FALSE
bowling,green,,,TRUE
croquet,stroke,a,a,FALSE
pioneer,ball,a,a,FALSE
elephant,brooch,an,a,FALSE
elephant,belt,an,a,FALSE
tennis,court,a,a,FALSE
bean,sprout,a,a,FALSE
bamboo,shoot,a,a,FALSE
lemon,chicken,a,a,FALSE
chicken,mushroom,a,a,FALSE
river,article,a,an,FALSE
staff,entertainment,,,TRUE
children,girl,a,a,FALSE
water,drip,a,a,FALSE
stone,coating,a,a,FALSE
glass,jar,a,a,FALSE
comb,brooch,a,a,FALSE
dozen,apple,a,an,FALSE
flower,bed,a,a,FALSE
pipe,cover,a,a,FALSE
stain,varnish,,,TRUE
path,hedge,a,a,FALSE
cutter,hedge,a,a,FALSE
hedge,cutter,a,a,FALSE
list,list,a,a,FALSE
village,hall,a,a,FALSE
gulf,stream,a,a,FALSE
path,lab,a,a,FALSE
exit,sign,an,a,FALSE
junction,box,a,a,FALSE
pipe,run,a,a,FALSE
water,tap,a,a,FALSE
water,feed,,,TRUE
header,tank,a,a,FALSE
quiz,game,a,a,FALSE
panel,game,a,a,FALSE
stripper,stripper,a,a,FALSE
bog,door,a,a,FALSE
cat,scratching,,,TRUE
lion,dung,,,TRUE
greenhouse,greenhouse,a,a,FALSE
tomato,house,a,a,FALSE
window,frame,a,a,FALSE
door,casing,a,a,FALSE
money,tree,a,a,FALSE
family,tie,a,a,FALSE
lion,board,a,a,FALSE
property,market,a,a,FALSE
street,lighting,,,TRUE
railway,line,a,a,FALSE
erection,erection,an,an,FALSE
concrete,path,a,a,FALSE
road,track,a,a,FALSE
ceiling,rose,a,a,FALSE
pit,house,a,a,FALSE
room,box,a,a,FALSE
country,mansion,a,a,FALSE
taxi,man,a,a,FALSE
door,bell,a,a,FALSE
church,warden,a,a,FALSE
entrance,hall,an,a,FALSE
song,book,a,a,FALSE
foot,gap,a,a,FALSE
scrap,heap,a,a,FALSE
one,guy,a,a,FALSE
coffee,tea,,,TRUE
tea,sugar,,,TRUE
dictionary,publisher,a,a,FALSE
dictionary,writer,a,a,FALSE
animal,animal,an,an,FALSE
north,king,a,a,FALSE
pound,tip,a,a,FALSE
racing,pigeon,a,a,FALSE
water,petrol,,,TRUE
water,gas,,,TRUE
kid,person,a,a,FALSE
stand,firm,a,a,FALSE
car,driver,a,a,FALSE
back,row,a,a,FALSE
traffic,light,a,a,FALSE
breaking,limb,a,a,FALSE
dairy,barn,a,a,FALSE
milk,cow,a,a,FALSE
hand,cheese,,,TRUE
magazine,servant,a,a,FALSE
hall,servant,a,a,FALSE
army,officer,an,an,FALSE
man,drive,a,a,FALSE
pavement,chair,a,a,FALSE
wheel,chair,a,a,FALSE
blood,shed,a,a,FALSE
dinner,break,a,a,FALSE
fat,fryer,a,a,FALSE
sandwich,box,a,a,FALSE
milk,shake,a,a,FALSE
wheel,drive,a,a,FALSE
pen,knife,a,a,FALSE
rain,forest,a,a,FALSE
butter,bacon,,,TRUE
bacon,crisp,a,a,FALSE
world,country,a,a,FALSE
cataract,operation,a,an,FALSE
boy,home,a,a,FALSE
cap,cap,a,a,FALSE
caster,sugar,,,TRUE
water,pill,a,a,FALSE
tissue,paper,a,a,FALSE
draw,ticket,a,a,FALSE
silver,wedding,a,a,FALSE
wedding,wedding,a,a,FALSE
water,test,a,a,FALSE
collar,management,,,TRUE
nursery,school,a,a,FALSE
day,school,a,a,FALSE
goods,shop,a,a,FALSE
ball,bearing,,,TRUE
table,tennis,,,TRUE
music,instrument,a,an,FALSE
snare,drum,a,a,FALSE
music,hall,a,a,FALSE
horse,shoeing,a,a,FALSE
riding,horse,a,a,FALSE
driving,horse,a,a,FALSE
land,horse,a,a,FALSE
pitch,fork,a,a,FALSE
home,county,a,a,FALSE
art,school,an,a,FALSE
lounge,window,a,a,FALSE
tube,company,a,a,FALSE
frame,chip,a,a,FALSE
tv,company,a,a,FALSE
cashier,chap,a,a,FALSE
fat,chap,a,a,FALSE
bum,worker,a,a,FALSE
telephone,box,a,a,FALSE
chap,walking,,,TRUE
fire,alarm,a,an,FALSE
text,one,a,a,FALSE
spot,rack,a,a,FALSE
ace,head,an,a,FALSE
assistant,manager,an,a,FALSE
road,racing,,,TRUE
hand,drive,a,a,FALSE
market,board,a,a,FALSE
pond,deer,a,a,FALSE
blooming,herb,a,a,FALSE
hedge,foot,a,a,FALSE
hedge,inch,a,an,FALSE
foot,inch,a,an,FALSE
plant,inch,a,an,FALSE
equipment,couple,an,a,FALSE
twin,deck,a,a,FALSE
boy,door,a,a,FALSE
plant,food,,,TRUE
horse,manure,,,TRUE
violet,light,a,a,FALSE
stock,room,a,a,FALSE
computer,person,a,a,FALSE
motor,car,a,a,FALSE
motor,caravan,a,a,FALSE
engine,driver,an,a,FALSE
computer,scientist,a,a,FALSE
night,school,a,a,FALSE
bank,account,a,an,FALSE
student,nurse,a,a,FALSE
meteor,crater,a,a,FALSE
hotel,day,a,a,FALSE
cash,till,a,a,FALSE
fat,boiling,,,TRUE
chip,pan,a,a,FALSE
fat,boil,a,a,FALSE
song,sheet,a,a,FALSE
railway,track,a,a,FALSE
ring,dart,a,a,FALSE
brass,dart,a,a,FALSE
darts,duster,a,a,FALSE
sharpener,duster,a,a,FALSE
chalk,duster,a,a,FALSE
shell,suit,a,a,FALSE
head,shot,a,a,FALSE
cat,hair,,,TRUE
wire,hair,,,TRUE
press,office,a,an,FALSE
dog,food,,,TRUE
food,company,a,a,FALSE
traffic,jam,,,TRUE
teen,movie,a,a,FALSE
corn,movie,a,a,FALSE
firework,factory,a,a,FALSE
chicken,wing,a,a,FALSE
beef,sandwich,a,a,FALSE
day,day,a,a,FALSE
battle,field,a,a,FALSE
people,money,,,TRUE
office,clerk,an,a,FALSE
money,broker,a,a,FALSE
computer,game,a,a,FALSE
countryside,breathing,,,TRUE
country,air,,,TRUE
camp,fire,a,a,FALSE
feather,feather,a,a,FALSE
feather,mattress,a,a,FALSE
ceiling,tile,a,a,FALSE
bed,sheet,a,a,FALSE
jacket,potato,a,a,FALSE
company,software,,,TRUE
car,station,a,a,FALSE
child,seat,a,a,FALSE
car,seat,a,a,FALSE
stomach,bug,a,a,FALSE
salmon,sandwich,a,a,FALSE
salmon,salad,a,a,FALSE
circus,bus,a,a,FALSE
egg,box,an,a,FALSE
butterfly,cake,a,a,FALSE
pie,chip,a,a,FALSE
bread,roll,a,a,FALSE
egg,bread,,,TRUE
dozen,flight,a,a,FALSE
dozen,step,a,a,FALSE
man,mum,a,a,FALSE
check,shirt,a,a,FALSE
navy,sweater,a,a,FALSE
milk,pint,a,a,FALSE
pork,chop,a,a,FALSE
water,bottle,a,a,FALSE
aspirin,pinch,an,a,FALSE
muscle,tissue,a,a,FALSE
stud,dog,a,a,FALSE
princess,princess,a,a,FALSE
floor,face,a,a,FALSE
wing,mirror,a,a,FALSE
hair,dryer,a,a,FALSE
meadow,walk,a,a,FALSE
girl,hood,a,a,FALSE
strand,house,a,a,FALSE
dog,walk,a,a,FALSE
dinner,bowl,a,a,FALSE
boy,boy,a,a,FALSE
bowler,hat,a,a,FALSE
cock,bird,a,a,FALSE
body,shop,a,a,FALSE
book,token,a,a,FALSE
sleeve,shirt,a,a,FALSE
vegetable,salad,a,a,FALSE
chip,machine,a,a,FALSE
magnet,wave,a,a,FALSE
wine,glasses,,,TRUE
grey,coat,a,a,FALSE
duffel,coat,a,a,FALSE
grey,boot,a,a,FALSE
phone,ring,a,a,FALSE
tom,cat,a,a,FALSE
door,step,a,a,FALSE
twin,tub,a,a,FALSE
light,weight,a,a,FALSE
screw,driver,a,a,FALSE
bathroom,window,a,a,FALSE
penny,piece,a,a,FALSE
coffee,machine,a,a,FALSE
person,person,a,a,FALSE
tea,pot,a,a,FALSE
cash,book,a,a,FALSE
patio,door,a,a,FALSE
wood,tuck,a,a,FALSE
manor,ground,,,TRUE
dam,bush,a,a,FALSE
bed,steed,a,a,FALSE
sugar,syrup,,,TRUE
box,office,a,an,FALSE
tracksuit,bottom,a,a,FALSE
breakfast,egg,a,an,FALSE
cauliflower,pea,a,a,FALSE
television,licence,a,a,FALSE
furniture,shop,a,a,FALSE
cat,flap,a,a,FALSE
flap,flap,a,a,FALSE
house,beam,a,a,FALSE
sewing,machine,a,a,FALSE
chap,advertising,,,TRUE
wood,wood,,,TRUE
car,engine,a,an,FALSE
engine,oil,,,TRUE
hare,lip,a,a,FALSE
bottom,jaw,a,a,FALSE
jaw,bone,a,a,FALSE
letter,box,a,a,FALSE
office,phone,an,a,FALSE
call,line,a,a,FALSE
phone,bill,a,a,FALSE
ice,hockey,,,TRUE
brake,pad,a,a,FALSE
brake,drum,a,a,FALSE
petrol,station,a,a,FALSE
toy,toy,a,a,FALSE
field,field,a,a,FALSE
wine,wine,,,TRUE
ice,mum,an,a,FALSE
tape,player,a,a,FALSE
toilet,mother,a,a,FALSE
brick,fireplace,a,a,FALSE
light,grate,a,a,FALSE
brick,fire,,,TRUE
timber,mantel,a,a,FALSE
mantel,fire,,,TRUE
housing,radiation,,,TRUE
panel,radiator,a,a,FALSE
wall,tiling,,,TRUE
bathroom,suite,a,a,FALSE
metal,bath,a,a,FALSE
light,wood,,,TRUE
flower,border,a,a,FALSE
screen,hedge,a,a,FALSE
floor,archway,a,an,FALSE
foot,radiator,a,a,FALSE
wall,drawer,a,a,FALSE
cooker,point,a,a,FALSE
mixer,tap,a,a,FALSE
entrance,door,an,a,FALSE
cork,tile,a,a,FALSE
tile,floor,a,a,FALSE
concrete,driveway,a,a,FALSE
metal,door,a,a,FALSE
door,timber,,,TRUE
patio,barbecue,a,a,FALSE
shrub,border,a,a,FALSE
lock,timber,,,TRUE
timber,fencing,,,TRUE
foot,lounge,a,a,FALSE
garden,tree,a,a,FALSE
road,road,a,a,FALSE
bedroom,room,a,a,FALSE
foot,bedroom,a,a,FALSE
fire,fire,,,TRUE
board,back,a,a,FALSE
hand,man,a,a,FALSE
scrap,yard,a,a,FALSE
chocolate,eclair,a,an,FALSE
night,mother,a,a,FALSE
casserole,dish,a,a,FALSE
cuckoo,land,,,TRUE
crisps,man,a,a,FALSE
cake,shop,a,a,FALSE
chocolate,bar,a,a,FALSE
ground,almond,a,an,FALSE
carrot,cake,a,a,FALSE
cream,cheese,,,TRUE
tool,box,a,a,FALSE
lilac,jade,,,TRUE
sailor,collar,a,a,FALSE
navy,stripe,a,a,FALSE
back,room,a,a,FALSE
pastel,pink,,,TRUE
grey,suite,a,a,FALSE
picture,frame,a,a,FALSE
picture,rail,a,a,FALSE
cigarette,smoke,,,TRUE
toast,cheese,,,TRUE
filter,tip,a,a,FALSE
banana,apple,a,an,FALSE
weight,weight,a,a,FALSE
rubber,rubber,,,TRUE
carry,film,a,a,FALSE
pop,guns,a,a,FALSE
bedroom,bathroom,a,a,FALSE
bathroom,room,a,a,FALSE
curtain,rail,a,a,FALSE
curtain,ring,a,a,FALSE
chicken,chicken,a,a,FALSE
door,grill,a,a,FALSE
air,museum,an,a,FALSE
school,call,a,a,FALSE
street,corner,a,a,FALSE
bird,bath,a,a,FALSE
ground,loo,a,a,FALSE
tit,box,a,a,FALSE
tea,cake,a,a,FALSE
cat,product,a,a,FALSE
walk,hotel,a,a,FALSE
foot,hole,a,a,FALSE
cooking,chocolate,,,TRUE
person,ring,a,a,FALSE
street,shop,a,a,FALSE
toilet,handle,a,a,FALSE
book,book,a,a,FALSE
picture,book,a,a,FALSE
night,dress,a,a,FALSE
pop,opera,a,an,FALSE
sea,shell,a,a,FALSE
train,station,a,a,FALSE
back,fence,a,a,FALSE
chain,saw,a,a,FALSE
road,sign,a,a,FALSE
floor,wall,a,a,FALSE
examination,board,an,a,FALSE
stag,group,a,a,FALSE
scout,badge,a,a,FALSE
scout,tent,a,a,FALSE
scout,group,a,a,FALSE
cub,group,a,a,FALSE
tent,stall,a,a,FALSE
walking,boot,a,a,FALSE
pound,boot,a,a,FALSE
video,tape,a,a,FALSE
food,processor,a,a,FALSE
ferry,crossing,a,a,FALSE
fare,crossing,a,a,FALSE
man,bobsleigh,a,a,FALSE
track,record,a,a,FALSE
record,run,a,a,FALSE
dozen,one,a,a,FALSE
paper,plate,a,a,FALSE
video,player,a,a,FALSE
foot,trunk,a,a,FALSE
tree,trunk,a,a,FALSE
art,advisor,an,an,FALSE
gun,guard,a,a,FALSE
guard,guard,a,a,FALSE
police,guard,a,a,FALSE
phone,box,a,a,FALSE
police,car,a,a,FALSE
call,box,a,a,FALSE
hand,filter,a,a,FALSE
tool,repair,a,a,FALSE
world,cup,a,a,FALSE
pop,star,a,a,FALSE
frozen,chicken,a,a,FALSE
chocolate,log,a,a,FALSE
floor,tiling,,,TRUE
grill,pan,a,a,FALSE
plant,house,a,a,FALSE
sit,bar,a,a,FALSE
college,building,a,a,FALSE
ground,rice,,,TRUE
rice,cake,a,a,FALSE
chocolate,sandwich,a,a,FALSE
sandwich,pound,a,a,FALSE
cross,piece,a,a,FALSE
children,slip,a,a,FALSE
violin,group,a,a,FALSE
day,game,a,a,FALSE
list,boy,a,a,FALSE
bread,crust,a,a,FALSE
crust,crust,a,a,FALSE
pitch,tar,,,TRUE
drug,alcohol,,,TRUE
calendar,date,a,a,FALSE
checkout,girl,a,a,FALSE
school,room,a,a,FALSE
packet,curry,a,a,FALSE
foot,flat,a,a,FALSE
door,frame,a,a,FALSE
cheese,packet,a,a,FALSE
document,file,a,a,FALSE
office,group,an,a,FALSE
children,adult,a,an,FALSE
navy,skirt,a,a,FALSE
gram,jar,a,a,FALSE
chocolate,raisin,a,a,FALSE
phone,line,a,a,FALSE
ear,hole,an,a,FALSE
shoe,shop,a,a,FALSE
fruit,shop,a,a,FALSE
paper,towel,a,a,FALSE
cooker,man,a,a,FALSE
grey,tights,,,TRUE
pound,ball,a,a,FALSE
sea,green,,,TRUE
shop,shop,a,a,FALSE
magazine,rack,a,a,FALSE
show,office,a,an,FALSE
coffee,cup,a,a,FALSE
chocolate,one,a,a,FALSE
draw,prize,a,a,FALSE
pound,prize,a,a,FALSE
bird,box,a,a,FALSE
wall,clock,a,a,FALSE
video,recorder,a,a,FALSE
foil,tray,a,a,FALSE
metal,tie,a,a,FALSE
film,wrap,a,a,FALSE
plastic,wrap,a,a,FALSE
pigeon,shit,,,TRUE
mango,one,a,a,FALSE
cuckoo,head,a,a,FALSE
dogs,barking,,,TRUE
thick,player,a,a,FALSE
pink,carpet,a,a,FALSE
green,green,,,TRUE
dolphin,show,a,a,FALSE
back,back,a,a,FALSE
intercom,beep,an,a,FALSE
woof,woof,a,a,FALSE
jungle,gym,a,a,FALSE
orange,color,an,a,FALSE
bear,hunt,a,a,FALSE
thick,mud,,,TRUE
dark,forest,a,a,FALSE
mud,squirt,a,a,FALSE
green,box,a,a,FALSE
frog,book,a,a,FALSE
dark,eye,a,an,FALSE
hot,balloon,a,a,FALSE
red,air,,,TRUE
curly,tail,a,a,FALSE
pink,phone,a,a,FALSE
pink,stair,a,a,FALSE
oval,ball,an,a,FALSE
ear,ring,an,a,FALSE
oatmeal,bite,an,a,FALSE
wet,foot,a,a,FALSE
orange,piece,an,a,FALSE
purple,ark,a,an,FALSE
green,color,a,a,FALSE
upstairs,toy,an,a,FALSE
stairs,toy,a,a,FALSE
elephant,book,an,a,FALSE
baby,elephant,a,an,FALSE
red,hair,,,TRUE
dirty,water,,,TRUE
red,marker,a,a,FALSE
fat,white,,,TRUE
fuzzy,poodle,a,a,FALSE
honey,pot,a,a,FALSE
bug,bug,a,a,FALSE
top,crocodile,a,a,FALSE
flat,side,a,a,FALSE
flat,border,a,a,FALSE
flat,edge,a,an,FALSE
bottom,piece,a,a,FALSE
sky,piece,a,a,FALSE
flat,tire,a,a,FALSE
bunny,rabbit,a,a,FALSE
hot,dog,a,a,FALSE
hot,popsicle,a,a,FALSE
ear,drum,an,a,FALSE
orange,shirt,an,a,FALSE
round,egg,a,an,FALSE
sunny,side,a,a,FALSE
lady,bug,a,a,FALSE
woolly,sheep,a,a,FALSE
tree,top,a,a,FALSE
flat,honey,,,TRUE
red,block,a,a,FALSE
mutton,head,a,a,FALSE
wet,suit,a,a,FALSE
limp,sheep,a,a,FALSE
sandy,apricot,a,an,FALSE
mermaid,hole,a,a,FALSE
key,instrument,a,an,FALSE
flower,seed,a,a,FALSE
green,square,a,a,FALSE
apple,juice,,,TRUE
apple,juicer,an,a,FALSE
elephant,trumpeting,,,TRUE
green,hat,a,a,FALSE
yellow,star,a,a,FALSE
bear,face,a,a,FALSE
bear,shoe,a,a,FALSE
brown,bear,a,a,FALSE
red,bird,a,a,FALSE
yellow,duck,a,a,FALSE
